Ligue,Equipe,Joueur,Position,Age,Taille,Poids,Ville de Naissance,Pays de Naissance,Club Formateur,Shoot,Année de Draft,Ronde de Draft,Position de Draft,Equipe de Draft,Salaire NHL,Match Joué,But,Assist,Point,Pénalités,Plus/Minus,GAA,SVP,Latitude Ville,Longitude Ville,Latitude Pays,Longitude Pays
NHL,Anaheim Ducks,Lukas Dostal,G,23,188,79,Brno,Czechia,HC Kometa Brno,L,2018,3,85,Anaheim Ducks,812500,7,None,None,None,None,None,3.15,0.91,49.19522,16.60796,49.75,15.0
NHL,Anaheim Ducks,John Gibson,G,30,188,95,Pittsburgh,USA,None,L,2011,2,39,Anaheim Ducks,6400000,7,None,None,None,None,None,2.41,0.921,40.44062,-79.99589,-14.60485,-57.65625
NHL,Anaheim Ducks,Jamie Drysdale,D,21,180,84,Toronto,Canada,Toronto Marlboros MHA,R,2020,1,6,Anaheim Ducks,2300000,2,0,2,2,0,2,None,None,43.70643,-79.39864,60.10867,-113.64258
NHL,Anaheim Ducks,Cam Fowler,D,31,188,97,Windsor,USA,None,L,2010,1,12,Anaheim Ducks,6500000,13,1,6,7,2,-1,None,None,43.58,-72.58624,-14.60485,-57.65625
NHL,Anaheim Ducks,Radko Gudas,D,33,183,94,Kladno,Czechia,HC Kladno,R,2010,3,66,Tampa Bay Lightning,4000000,13,1,1,2,28,4,None,None,50.14734,14.10285,49.75,15.0
NHL,Anaheim Ducks,Jackson LaCombe,D,22,188,91,Eden Prairie,USA,None,L,2019,2,39,Anaheim Ducks,925000,13,0,3,3,8,-4,None,None,44.85469,-93.47079,-14.60485,-57.65625
NHL,Anaheim Ducks,Ilya Lyubushkin,D,29,187,91,Moskva,Russia,Sozvezdie Moskva,R,None,None,None,None,2750000,13,0,1,1,12,2,None,None,55.75222,37.61556,60.0,100.0
NHL,Anaheim Ducks,Pavel Mintyukov,D,19,185,87,Moskva,Russia,CSKA Moskva,L,2022,1,10,Anaheim Ducks,918333,13,1,8,9,2,2,None,None,55.75222,37.61556,60.0,100.0
NHL,Anaheim Ducks,Urho Vaakanainen,D,24,188,91,Joensuu,Finland,Jokipojat,L,2017,1,18,Boston Bruins,850000,9,0,1,1,0,1,None,None,62.60118,29.76316,64.0,26.0
NHL,Anaheim Ducks,Leo Carlsson,F,18,190,90,Karlstad,Sweden,Färjestads BK,L,2023,1,2,Anaheim Ducks,950000,9,6,1,7,4,0,None,None,59.3793,13.50357,62.0,15.0
NHL,Anaheim Ducks,Sam Carrick,F,31,183,91,Stouffville,Canada,None,R,2010,5,144,Toronto Maple Leafs,850000,13,3,2,5,16,3,None,None,44.00012,-79.3163,60.10867,-113.64258
NHL,Anaheim Ducks,Benoit-Olivier Groulx,F,23,188,91,Rouen,Canada,AHM Gatineau,L,2018,2,54,Anaheim Ducks,775000,7,0,1,1,2,1,None,None,38.10059,-83.49463,60.10867,-113.64258
NHL,Anaheim Ducks,Adam Henrique,F,33,183,88,Brantford,Canada,Brantford MHA,L,2008,3,82,New Jersey Devils,5825000,12,2,4,6,6,-1,None,None,43.1334,-80.26636,60.10867,-113.64258
